,frameno,ant_id,x,y,next_x,next_y,speed,angle,cos(angle)
0,1,1,50.496399999999994,220.695,49.3391,219.538,1.6364572374492226,0.7852685345687184,0.7071984366691415
1,1,2,27.349899999999998,354.945,28.507199999999997,354.945,1.1572999999999993,0.0,1.0
2,1,3,75.958,291.292,88.688,290.135,12.782470379390677,-0.09063863878552454,0.9958951299840074
3,1,4,71.328,535.487,70.171,543.589,8.184195317806232,-1.428951111626675,0.1413700376239469
4,1,5,240.29700000000003,132.739,241.45499999999998,130.424,2.588472329386562,-1.1069759465449596,0.4473681201275933
5,1,6,279.646,167.458,283.118,167.458,3.47199999999998,0.0,1.0
6,1,7,236.825,305.18,243.769,301.708,7.763628017879276,-0.4636476090008028,0.8944271909999174
7,1,8,266.916,346.844,266.916,350.316,3.47199999999998,1.5707963267948966,6.123233995736766e-17
8,1,9,301.636,261.202,308.58,255.41500000000002,9.039275690009635,-0.6947666052098554,0.7682031434968388
9,1,10,315.524,187.133,318.995,187.133,3.4710000000000036,0.0,1.0
10,1,11,387.083,167.352,381.343,163.908,6.693932775282422,0.5404195002705856,0.8574929257125434
11,1,12,359.502,235.74099999999999,351.401,232.269,8.813681693821252,0.40490668430811266,0.9191391612972736
12,1,13,364.131,286.663,372.232,287.82,8.18320536220379,0.14186249079939095,0.9899543811299885
13,1,14,340.016,306.258,348.052,302.814,8.742907525531752,-0.40489178628507916,0.9191450300180596
14,1,15,364.123,334.957,362.975,332.661,2.5670060381697373,1.1071487177941004,0.4472135954999491
15,1,16,443.334,344.141,453.666,342.993,10.395582138581752,-0.11065722117389806,0.9938837346736187
16,1,17,442.186,435.98,443.334,437.128,1.6235171696043076,0.7853981633974235,0.707106781186565
17,1,18,550.096,330.365,560.428,334.957,11.306488756461915,0.41822432957922806,0.9138115486202576
18,1,19,622.419,281.002,625.863,278.706,4.139172864232717,-0.5880026035475562,0.83205029433785
19,1,20,634.945,381.563,644.203,381.563,9.257999999999925,0.0,1.0
20,1,21,692.811,276.247,691.654,278.561,2.5871306499672424,-1.1071487177940709,0.4472135954999755
