,frameno,ant_id,x,y,next_x,next_y,speed,angle,cos(angle)
0,1,1,-3.2308999999999983,200.643,-4.378900000000002,208.679,8.117585848021568,-1.4288992721907323,0.1414213562373099
1,1,2,-0.4258999999999986,256.572,3.0461000000000027,254.25799999999998,4.172454912878042,-0.5878696601822289,0.8321240306956639
2,1,3,65.5416,195.234,67.8562,187.133,8.425175022514368,-1.2924934070726233,0.2747242631535553
3,1,4,91.003,251.94299999999998,95.632,254.25799999999998,5.175602960042436,0.4637340170192543,0.8943885448203024
4,1,5,145.397,166.301,144.24,174.402,8.183205362203735,-1.4289338359955046,0.1413871397318084
5,1,6,183.589,211.437,181.274,211.437,2.3149999999999977,0.0,1.0
6,1,7,125.72200000000001,451.003,128.037,448.688,3.273904396893712,-0.7853981633974483,0.7071067811865476
7,1,8,181.274,581.78,183.589,586.41,5.176497367912008,1.1071487177940904,0.44721359549995804
8,1,9,188.218,434.8,192.847,432.486,5.175155746448629,-0.46356119351536823,0.894465833840189
9,1,10,213.679,72.558,215.994,78.344,6.231935574121401,1.1902005575492771,0.3714736733821858
10,1,11,217.182,155.872,218.33,154.724,1.6235171696043478,-0.7853981633974483,0.7071067811865476
11,1,12,235.54899999999998,375.137,235.54899999999998,371.693,3.444000000000017,-1.5707963267948966,6.123233995736766e-17
12,1,13,227.51299999999998,469.271,230.957,457.791,11.985471872229335,-1.2793395323170287,0.2873478855663462
13,1,14,251.62099999999998,624.0,255.065,624.0,3.444000000000017,0.0,1.0
14,1,15,267.693,84.697,268.841,78.957,5.853674401604531,-1.3734007669450121,0.1961161351381877
15,1,16,281.469,186.868,276.877,183.424,5.739999999999981,0.6435011087932844,0.8
16,1,17,351.496,367.101,357.235,375.137,9.874888201898814,0.9506292451345814,0.5811711365903359
17,1,18,340.016,488.78700000000003,340.016,487.639,1.1480000000000246,-1.5707963267948966,6.123233995736766e-17
18,1,19,317.838,547.061,320.153,551.69,5.17560296004245,1.1070623097756436,0.4472908795115555
19,1,20,391.907,548.218,393.064,549.375,1.6362450916657263,0.7853981633974483,0.7071067811865476
20,1,21,286.59,-32.0,295.849,-32.0,9.259000000000015,0.0,1.0
21,1,22,343.46,10.078499999999998,333.128,10.078499999999998,10.331999999999994,0.0,1.0
22,1,23,457.11,-30.1009,453.666,-26.656950000000002,4.870516153602213,-0.7853909043435907,0.7071119140941251
23,1,24,504.177,60.58969999999999,505.32500000000005,59.4417,1.6235171696043278,-0.785398163397436,0.7071067811865562
24,1,25,562.724,-32.0,562.724,-32.0,0.0,,
25,1,26,459.406,196.052,457.11,192.608,4.139172864232646,0.982793723247329,0.5547001962252291
26,1,27,498.437,209.827,493.845,214.419,6.494068678417251,-0.7853981633974514,0.7071067811865454
27,1,28,525.989,266.078,527.137,270.67,4.733325258209093,1.3258176636680528,0.2425356250363133
