,frameno,ant_id,x,y,next_x,next_y,speed,angle,cos(angle)
0,1,31,1140.96,52.3438,1148.21,52.3438,7.25,0.0,1.0
1,1,32,775.82,88.61600000000001,780.656,91.03399999999999,5.406812369594391,0.4636476090008108,0.8944271909999137
2,1,33,855.618,112.797,860.455,105.543,8.718777723970245,-0.9826982912588166,0.554779597913339
3,1,34,845.946,908.364,848.364,915.618,7.646387382287162,1.2490457723982544,0.31622776601683794
4,1,35,928.162,915.618,925.744,915.618,2.4180000000000064,0.0,1.0
5,1,36,1005.54,908.364,1005.54,898.691,9.673000000000002,-1.5707963267948966,6.123233995736766e-17
6,1,37,1124.03,821.311,1121.61,826.147,5.407707092659557,-1.1068179205848423,0.4475094450446456
7,1,38,754.057,20.908100000000005,758.893,20.908100000000005,4.836000000000013,0.0,1.0
8,1,39,1179.65,366.702,1186.9,361.865,8.715450017067385,-0.5883526544497656,0.8318560700597665
9,1,40,1406.95,461.009,1397.28,444.082,19.494415328498626,1.0517647389493872,0.49603949834102634
10,2,31,1148.21,52.3438,1150.63,54.762,3.4211242655010863,0.7850261242264702,0.7073698036647084
11,2,32,780.656,91.03399999999999,766.147,86.19800000000001,15.293723451141549,0.3217298774328516,0.9486898364777824
12,2,33,860.455,105.543,870.127,105.543,9.671999999999912,0.0,1.0
13,2,34,848.364,915.618,845.946,918.037,3.4202755736928494,-0.7856049031091972,0.7069605790241362
14,2,35,925.744,915.618,924.066,917.188,2.297952131790345,-0.7521591784264485,0.7302153847272093
15,2,36,1005.54,898.691,1007.96,903.528,5.408601390378131,1.1069006609114524,0.4474354505594068
16,2,37,1121.61,826.147,1128.87,828.565,7.65207971730561,0.3215026000253301,0.9487616789434501
17,2,38,758.893,20.908100000000005,758.893,25.744299999999996,4.836199999999991,1.5707963267948966,6.123233995736766e-17
18,2,39,1186.9,361.865,1172.39,359.447,14.710092589783375,0.1651263255516033,0.9863975982093849
19,2,40,1397.28,444.082,1404.54,431.991,14.103186909347833,-1.0300484991815784,0.5147772660651572
20,3,31,1150.63,54.762,1162.72,54.762,12.089999999999918,0.0,1.0
21,3,32,766.147,86.19800000000001,780.656,74.107,18.88659212245548,-0.6947450554440747,0.7682169396113141
22,3,33,870.127,105.543,874.963,95.87,10.814519175626819,-1.1071900708665992,0.4471766078051006
23,3,34,845.946,918.037,845.946,903.528,14.509000000000015,-1.5707963267948966,6.123233995736766e-17
24,3,35,924.066,917.188,924.066,917.188,0.0,,
25,3,36,1007.96,903.528,1007.96,908.364,4.836000000000013,1.5707963267948966,6.123233995736766e-17
26,3,37,1128.87,828.565,1126.45,821.311,7.647020073204956,1.2487976539681664,0.3164631420910595
27,3,38,758.893,25.744299999999996,761.311,20.908100000000005,5.406991255772469,-1.107165259843978,0.4471987997795567
28,3,39,1172.39,359.447,1184.48,366.702,14.099756203566002,0.5404803164232821,0.8574616344743754
29,3,40,1404.54,431.991,1380.35,395.719,43.59832661926375,0.9826283246381845,0.5548378085986401
30,4,31,1162.72,54.762,1177.23,66.853,18.887360350244805,0.6947111603101899,0.7682386384824771
31,4,32,780.656,74.107,773.402,86.19800000000001,14.100099184048275,-1.030413315328321,0.5144644661937201
32,4,33,874.963,95.87,884.636,91.03399999999999,10.814519175626819,-0.46360625592829735,0.8944456838913827
33,4,34,845.946,903.528,836.273,915.618,15.483379120850874,-0.8960049518587132,0.6247344280922336
34,4,35,924.066,917.188,924.066,923.96,6.772000000000048,1.5707963267948966,6.123233995736766e-17
35,4,36,1007.96,908.364,1007.96,898.691,9.673000000000002,-1.5707963267948966,6.123233995736766e-17
36,4,37,1126.45,821.311,1133.7,816.475,8.714895065346463,-0.5882572022308844,0.8319090414328213
37,4,38,761.311,20.908100000000005,763.729,25.744299999999996,5.406991255772469,1.107165259843978,0.4471987997795567
38,4,39,1184.48,366.702,1184.48,357.029,9.673000000000002,-1.5707963267948966,6.123233995736766e-17
39,4,40,1380.35,395.719,1373.1,383.628,14.098041743447926,1.030656614851055,0.5142558187820264
40,5,31,1177.23,66.853,1186.9,64.435,9.967729129546075,-0.2450273272953959,0.9701306962020585
41,5,32,773.402,86.19800000000001,778.238,88.61600000000001,5.406812369594506,0.4636476090008061,0.8944271909999159
42,5,33,884.636,91.03399999999999,889.472,78.943,13.022256985638089,-1.190318469368236,0.37136419633966
43,5,34,836.273,915.618,843.528,908.364,10.259412312603496,-0.7853292406599479,0.7071555152420733
44,5,35,924.066,923.96,927.452,923.96,3.3859999999999673,0.0,1.0
