,frameno,ant_id,x,y,next_x,next_y,speed,angle,cos(angle)
0,1,1,212.522,175.56,214.886,178.832,4.036642168931991,0.9451327709151286,0.5856352634361615
1,1,2,255.065,222.455,244.733,222.455,10.331999999999994,0.0,1.0
2,1,3,225.21699999999998,336.105,226.365,334.957,1.6235171696043478,-0.7853981633974483,0.7071067811865476
3,1,4,190.778,418.76,190.778,416.464,2.2959999999999923,-1.5707963267948966,6.123233995736766e-17
4,1,5,275.729,577.182,268.841,582.922,8.966166627940828,-0.6947382761967056,0.7682212795973743
5,1,6,323.944,298.222,320.5,302.814,5.740000000000043,-0.9272952180016142,0.5999999999999984
6,1,7,457.11,217.863,460.554,216.715,3.6302947538732604,-0.3217505543966447,0.948683298050513
7,1,8,458.258,264.93,457.11,270.67,5.85367440160452,-1.3734007669450214,0.19611613513817855
8,1,9,1060.95,624.0,1059.8,624.0,1.150000000000091,0.0,1.0
9,1,10,535.173,222.455,532.877,222.455,2.296000000000049,0.0,1.0
10,1,11,552.392,264.93,547.8,271.818,8.278345728465355,-0.9827937232473176,0.5547001962252387
11,1,12,576.5,519.783,579.944,518.635,3.6302947538732693,-0.3217505543966521,0.9486832980505107
12,1,13,598.312,191.46,575.352,196.052,23.414697606418102,-0.1973955598498798,0.9805806756909203
13,1,14,605.2,255.747,601.756,256.895,3.6302947538733594,-0.32175055439662736,0.9486832980505185
14,1,15,631.603,305.11,636.195,306.258,4.733325258209162,0.24497866312685251,0.9701425001453348
15,1,16,635.047,501.41499999999996,629.307,495.67499999999995,8.117585848021578,0.7853981633974483,0.7071067811865476
16,1,17,655.711,263.783,664.895,281.002,19.515117652732695,1.0808148865059015,0.47060951224723646
17,1,18,709.666,495.67499999999995,713.11,500.26700000000005,5.740000000000054,0.9272952180016281,0.5999999999999873
18,1,19,760.177,93.881,748.697,92.733,11.5372572130468,0.09966865249116154,0.9950371902099892
19,1,20,801.504,192.608,790.025,191.46,11.536262176285739,0.09967727779089029,0.9950363319235752
20,1,21,829.056,385.469,831.352,383.173,3.247034339208575,-0.7853981633974606,0.7071067811865388
21,2,1,214.886,178.832,212.59,168.5,10.584037036972227,1.3521273809209553,0.21693045781865555
22,2,2,244.733,222.455,237.84500000000003,230.49099999999999,10.584037036972198,-0.8621700546672264,0.6507913734559685
23,2,3,226.365,334.957,225.21699999999998,336.105,1.6235171696043478,-0.7853981633974483,0.7071067811865476
24,2,4,190.778,416.464,188.482,419.908,4.13917286423267,-0.9827937232473329,0.5547001962252259
25,2,5,268.841,582.922,260.805,586.365,8.742513654550383,-0.4047866511868673,0.9191864396822932
26,2,6,320.5,302.814,317.056,294.778,8.742907525531775,1.1659045405098114,0.3939192985791693
27,2,7,460.554,216.715,465.146,212.123,6.494068678417291,-0.7853981633974452,0.7071067811865497
28,2,8,457.11,270.67,458.258,270.67,1.1479999999999677,0.0,1.0
29,2,9,1059.8,624.0,1058.65,624.0,1.1499999999998636,0.0,1.0
30,2,10,532.877,222.455,528.285,220.159,5.134012076339513,0.4636476090008111,0.8944271909999136
31,2,11,547.8,271.818,544.357,271.818,3.4429999999999836,0.0,1.0
32,2,12,579.944,518.635,578.796,525.522,6.982024992794037,-1.4056241033477945,0.1644222129231464
33,2,13,575.352,196.052,581.092,196.052,5.740000000000009,0.0,1.0
34,2,14,601.756,256.895,602.904,255.747,1.6235171696043076,-0.7853981633974235,0.707106781186565
35,2,15,636.195,306.258,633.899,302.814,4.139172864232654,0.9827937232473138,0.5547001962252418
36,2,16,629.307,495.67499999999995,633.899,495.67499999999995,4.5919999999999845,0.0,1.0
37,2,17,664.895,281.002,654.563,271.818,13.823750576453568,0.7266423406817273,0.7474093186836587
38,2,18,713.11,500.26700000000005,726.886,497.971,13.966022769564674,-0.16514867741463085,0.9863939238321431
39,2,19,748.697,92.733,748.697,95.029,2.2959999999999923,1.5707963267948966,6.123233995736766e-17
40,2,20,790.025,191.46,790.025,186.868,4.592000000000013,-1.5707963267948966,6.123233995736766e-17
41,2,21,831.352,383.173,830.204,376.285,6.983011384782337,1.4056476493802657,0.16439898730536137
42,3,1,212.59,168.5,211.442,170.796,2.56700603816975,-1.1071487177940904,0.44721359549995804
43,3,2,237.84500000000003,230.49099999999999,233.253,230.49099999999999,4.592000000000041,0.0,1.0
44,3,3,225.21699999999998,336.105,228.661,332.661,4.870551508812963,-0.7853981633974483,0.7071067811865476
45,3,4,188.482,419.908,186.186,419.908,2.2959999999999923,0.0,1.0
46,3,5,260.805,586.365,269.989,587.513,9.255471895046707,0.12435499454676446,0.9922778767136673
47,3,6,317.056,294.778,319.352,298.222,4.139172864232623,0.9827937232473253,0.5547001962252323
48,3,7,465.146,212.123,465.146,208.679,3.4439999999999884,-1.5707963267948966,6.123233995736766e-17
49,3,8,458.258,270.67,458.258,263.783,6.8870000000000005,-1.5707963267948966,6.123233995736766e-17
50,3,9,1058.65,624.0,1063.24,624.0,4.589999999999918,0.0,1.0
51,3,10,528.285,220.159,531.729,216.715,4.870551508812984,-0.785398163397436,0.7071067811865562
52,3,11,544.357,271.818,551.244,268.374,7.700123700305113,-0.4637056877555243,0.8944012158826959
53,3,12,578.796,525.522,578.796,525.522,0.0,,
54,3,13,581.092,196.052,581.092,183.424,12.627999999999986,-1.5707963267948966,6.123233995736766e-17
55,3,14,602.904,255.747,599.46,252.303,4.870551508812923,0.7853981633974565,0.7071067811865417
56,3,15,633.899,302.814,633.899,303.962,1.1479999999999677,1.5707963267948966,6.123233995736766e-17
57,3,16,633.899,495.67499999999995,633.899,504.85900000000004,9.184000000000083,1.5707963267948966,6.123233995736766e-17
58,3,17,654.563,271.818,668.339,278.706,15.402036229018627,0.4636476090008061,0.8944271909999159
59,3,18,726.886,497.971,717.702,492.231,10.83021033960096,0.5585993153435647,0.8479983040050868
60,3,19,748.697,95.029,741.809,93.881,6.9830113847823885,0.1651486774146255,0.986393923832144
61,3,20,790.025,186.868,785.433,181.128,7.350786624572908,0.8960553845713464,0.6246950475544224
62,3,21,830.204,376.285,831.352,379.729,3.6302947538732693,1.2490457723982444,0.31622776601684743
63,4,1,211.442,170.796,211.442,171.944,1.1479999999999961,1.5707963267948966,6.123233995736766e-17
64,4,2,233.253,230.49099999999999,226.365,228.195,7.260589507746575,0.3217505543966422,0.9486832980505138
65,4,3,228.661,332.661,226.365,329.217,4.13917286423267,0.9827937232473329,0.5547001962252259
66,4,4,186.186,419.908,183.89,418.76,2.567006038169788,0.4636476090008111,0.8944271909999136
67,4,5,269.989,587.513,260.805,592.105,10.268024152679,-0.4636476090008061,0.8944271909999159
68,4,6,319.352,298.222,315.908,300.518,4.139172864232623,-0.5880026035475714,0.8320502943378416
69,4,7,465.146,208.679,465.146,207.531,1.1479999999999961,-1.5707963267948966,6.123233995736766e-17
70,4,8,458.258,263.783,459.406,266.078,2.566111649948199,1.1069744410443578,0.447369466571417
71,4,9,1063.24,624.0,1062.1,624.0,1.1400000000001,0.0,1.0
72,4,10,531.729,216.715,534.025,212.123,5.1340120763395,-1.1071487177941028,0.4472135954999469
73,4,11,551.244,268.374,545.504,270.67,6.182169198590417,-0.3805063771123632,0.92847669088526
74,4,12,578.796,525.522,578.796,522.078,3.4440000000000737,-1.5707963267948966,6.123233995736766e-17
75,4,13,581.092,183.424,579.944,175.388,8.11758584802157,1.4288992721907297,0.14142135623731253
76,4,14,599.46,252.303,604.052,254.599,5.1340120763395,0.4636476090008061,0.8944271909999159
77,4,15,633.899,303.962,635.047,308.554,4.7333252582090655,1.3258176636680266,0.24253562503633871
78,4,16,633.899,504.85900000000004,628.159,502.563,6.1821691985904375,0.3805063771123717,0.9284766908852568
79,4,17,668.339,278.706,671.783,278.706,3.44399999999996,0.0,1.0
80,4,18,717.702,492.231,726.886,501.41499999999996,12.98813735683446,0.7853981633974483,0.7071067811865476
81,4,19,741.809,93.881,736.07,93.881,5.738999999999919,0.0,1.0
82,4,20,785.433,181.128,795.765,168.5,16.31614562327756,-0.8850668158886101,0.6332377902572628
83,4,21,831.352,379.729,832.5,380.877,1.6235171696043478,0.7853981633974483,0.7071067811865476
84,5,1,211.442,171.944,207.998,171.944,3.444000000000017,0.0,1.0
85,5,2,226.365,228.195,222.922,233.935,6.693418334453644,-1.0305049363906327,0.5143858979017558
86,5,3,226.365,329.217,229.80900000000003,330.365,3.630294753873323,0.3217505543966471,0.9486832980505122
87,5,4,183.89,418.76,185.038,417.612,1.6235171696043076,-0.7853981633974235,0.707106781186565
88,5,5,260.805,592.105,255.065,593.253,5.853674401604531,-0.19739555984988455,0.9805806756909194
89,5,6,315.908,300.518,314.76,300.518,1.1480000000000246,0.0,1.0
90,5,7,465.146,207.531,463.998,200.643,6.983011384782365,1.4056476493802665,0.16439898730536048
91,5,8,459.406,266.078,455.962,263.783,4.138618247676382,0.5878015581139971,0.8321617974631129
92,5,9,1062.1,624.0,1049.47,624.0,12.629999999999882,0.0,1.0
93,5,10,534.025,212.123,525.989,212.123,8.035999999999945,0.0,1.0
94,5,11,545.504,270.67,547.8,276.41,6.182169198590396,1.1902899496825419,0.37139067635409434
95,5,12,578.796,522.078,575.352,527.818,6.693932775282451,-1.0303768265243036,0.5144957554275341
96,5,13,579.944,175.388,581.092,175.388,1.1480000000000246,0.0,1.0
97,5,14,604.052,254.599,605.2,255.747,1.6235171696043478,0.7853981633974483,0.7071067811865476
98,5,15,635.047,308.554,633.899,308.554,1.1480000000000246,0.0,1.0
99,5,16,628.159,502.563,632.751,503.711,4.7333252582090655,0.24497866312686994,0.9701425001453305
100,5,17,671.783,278.706,679.818,270.67,11.363913102448448,-0.7854603872788958,0.7070627808891606
101,5,18,726.886,501.41499999999996,736.07,501.41499999999996,9.184000000000083,0.0,1.0
102,5,19,736.07,93.881,738.365,92.733,2.566111649948186,-0.46382188575052885,0.8943492384855112
103,5,20,795.765,168.5,795.765,162.76,5.740000000000009,-1.5707963267948966,6.123233995736766e-17
104,5,21,832.5,380.877,831.352,383.173,2.5670060381697626,-1.1071487177940806,0.44721359549996675
105,6,1,207.998,171.944,203.406,170.796,4.733325258209058,0.24497866312686414,0.9701425001453319
106,6,2,222.922,233.935,221.774,233.935,1.1479999999999961,0.0,1.0
107,6,3,229.80900000000003,330.365,230.957,332.661,2.5670060381697373,1.1071487177941004,0.4472135954999491
