,frameno,ant_id,x,y,next_x,next_y,speed,angle,cos(angle)
0,1,61,710.53,448.918,715.366,453.754,6.839136787636306,0.7853981633974483,0.7071067811865476
1,1,62,831.437,303.83,826.601,303.83,4.836000000000013,0.0,1.0
2,1,63,850.782,453.754,858.037,453.754,7.2549999999999955,0.0,1.0
3,1,64,879.8,170.832,887.054,182.923,14.100099184048334,1.0304133153283141,0.514464466193726
4,1,65,991.03,925.291,993.45,920.455,5.407707092659557,-1.1068179205848423,0.4475094450446456
5,1,66,1063.58,74.107,1075.67,83.78,15.483379120850962,0.6747913749361789,0.7808373033841777
6,1,67,1092.6,182.923,1107.1,175.669,16.213282085993566,-0.4638682743031213,0.8943284847012163
7,1,68,1107.1,291.739,1099.85,291.739,7.25,0.0,1.0
8,1,69,1302.97,785.039,1302.97,777.785,7.254000000000019,-1.5707963267948966,6.123233995736766e-17
9,1,70,1302.97,630.278,1305.39,644.787,14.709435101321898,1.4055247086383225,0.1645202540635019
10,2,61,715.366,453.754,715.366,453.754,0.0,,
11,2,62,826.601,303.83,829.019,303.83,2.4180000000000064,0.0,1.0
12,2,63,858.037,453.754,855.618,456.173,3.4209826073804925,-0.7853981633974483,0.7071067811865476
13,2,64,887.054,182.923,891.89,182.923,4.836000000000013,0.0,1.0
14,2,65,993.45,920.455,1012.8,918.037,19.500492916846913,-0.12431683097772389,0.9922826095992175
15,2,66,1075.67,83.78,1082.92,78.943,8.715450017067393,-0.5883526544497669,0.8318560700597657
16,2,67,1107.1,175.669,1119.2,175.669,12.100000000000136,0.0,1.0
17,2,68,1099.85,291.739,1102.27,291.739,2.4200000000000728,0.0,1.0
18,2,69,1302.97,777.785,1317.48,777.785,14.509999999999991,0.0,1.0
19,2,70,1305.39,644.787,1300.56,649.623,6.834895463721565,-0.7860188957820169,0.7066677209091133
20,3,61,715.366,453.754,715.366,461.009,7.2549999999999955,1.5707963267948966,6.123233995736766e-17
21,3,62,829.019,303.83,826.601,308.666,5.406812369594506,-1.1071487177940904,0.44721359549995804
22,3,63,855.618,456.173,860.455,453.754,5.4081540288715715,-0.46373030146733196,0.894390206746616
23,3,64,891.89,182.923,899.145,185.341,7.647336072123414,0.32170920303413936,0.9486963736884026
24,3,65,1012.8,918.037,1049.07,903.528,39.06435691266399,-0.3805301449858018,0.9284678634564152
25,3,66,1082.92,78.943,1087.76,66.853,13.022814595931223,-1.1900047650332035,0.37165544854735955
26,3,67,1119.2,175.669,1119.2,178.087,2.417999999999978,1.5707963267948966,6.123233995736766e-17
27,3,68,1102.27,291.739,1109.52,286.903,8.71489506534643,-0.5882572022308791,0.8319090414328243
28,3,69,1317.48,777.785,1319.9,768.112,9.971124761028737,-1.3256473970808402,0.24270080437248467
29,3,70,1300.56,649.623,1293.3,661.714,14.103186909347833,-1.0300484991815784,0.5147772660651572
30,4,61,715.366,461.009,720.203,465.845,6.8398439309680175,0.7852947828540374,0.7071798784910911
31,4,62,826.601,308.666,833.855,313.503,8.718777723970268,0.5880980355360782,0.8319973544063199
32,4,63,860.455,453.754,855.618,453.754,4.836999999999989,0.0,1.0
33,4,64,899.145,185.341,903.981,187.759,5.406812369594493,0.46364760900080143,0.894427190999918
34,4,65,1049.07,903.528,1056.32,903.528,7.25,0.0,1.0
35,4,66,1087.76,66.853,1085.34,69.271,3.420982899694236,-0.7849847694565354,0.7073990344167959
36,4,67,1119.2,178.087,1126.45,173.251,8.714895065346447,-0.5882572022308817,0.8319090414328228
37,4,68,1109.52,286.903,1095.01,291.739,15.29467214424681,-0.32170920303413586,0.9486963736884038
38,4,69,1319.9,768.112,1319.9,763.276,4.836000000000013,-1.5707963267948966,6.123233995736766e-17
39,4,70,1293.3,661.714,1286.05,666.55,8.714895065346399,-0.5882572022308736,0.8319090414328273
40,5,61,720.203,465.845,717.785,475.51800000000003,9.970639548193489,-1.3258419886497834,0.2425120262659687
41,5,62,833.855,313.503,831.437,303.83,9.970639548193489,1.3258419886497834,0.2425120262659687
42,5,63,855.618,453.754,855.618,456.173,2.4189999999999827,1.5707963267948966,6.123233995736766e-17
43,5,64,903.981,187.759,945.089,199.85,42.84927006379461,0.28606066084410836,0.9593629002033844
44,5,65,1056.32,903.528,1073.25,903.528,16.930000000000064,0.0,1.0
45,5,66,1085.34,69.271,1097.43,76.525,14.099241681736062,0.5404195002705792,0.8574929257125468
46,5,67,1126.45,173.251,1133.7,170.832,7.642909197419531,-0.3220401815969527,0.948591670099628
47,5,68,1095.01,291.739,1102.27,291.739,7.259999999999991,0.0,1.0
48,5,69,1319.9,763.276,1327.15,756.021,10.256584470475536,-0.7857428721049254,0.706862993316123
49,5,70,1286.05,666.55,1281.21,685.895,19.941279422344,-1.325635226306889,0.24271261123680693
50,6,61,717.785,475.51800000000003,715.366,482.77200000000005,7.646703668902058,-1.248921708050852,0.3163454613571174
51,6,62,831.437,303.83,833.855,303.83,2.4180000000000064,0.0,1.0
52,6,63,855.618,456.173,853.2,453.754,3.4202755736928494,0.7856049031091972,0.7069605790241362
53,6,64,945.089,199.85,971.69,192.596,27.572336081659817,-0.2662234207381875,0.9647713534760691
54,6,65,1073.25,903.528,1087.76,891.437,18.887360350244816,-0.6947111603101905,0.7682386384824766
55,6,66,1097.43,76.525,1099.85,83.78,7.647968684559266,1.2488390326865195,0.31642388976901326
56,6,67,1133.7,170.832,1150.63,161.16,19.498012308950933,-0.5190443317814469,0.8682936358711819
57,6,68,1102.27,291.739,1116.78,296.576,15.294988362205451,0.32177122965043103,0.9486767597584318
58,6,69,1327.15,756.021,1327.15,746.349,9.671999999999912,-1.5707963267948966,6.123233995736766e-17
59,6,70,1281.21,685.895,1273.96,690.732,8.715450017067385,-0.5883526544497656,0.8318560700597665
60,7,61,715.366,482.77200000000005,715.366,499.69899999999996,16.926999999999907,1.5707963267948966,6.123233995736766e-17
61,7,62,833.855,303.83,831.437,303.83,2.4180000000000064,0.0,1.0
62,7,63,853.2,453.754,855.618,453.754,2.4180000000000064,0.0,1.0
63,7,64,971.69,192.596,1022.47,182.923,51.693087826130075,-0.18823326924413358,0.9823363651790105
64,7,65,1087.76,891.437,1114.36,881.764,28.304185715190524,-0.3487800590395181,0.9397903288107667
65,7,66,1099.85,83.78,1109.52,74.107,13.677566632994388,-0.7855532582625611,0.706997104051618
66,7,67,1150.63,161.16,1169.98,173.251,22.816984485246877,0.5584971109816528,0.8480524677794882
67,7,68,1116.78,296.576,1107.1,308.666,15.487753226339857,-0.8956520368065841,0.625009958419107
68,7,69,1327.15,746.349,1324.74,746.349,2.410000000000082,0.0,1.0
69,7,70,1273.96,690.732,1269.12,697.986,8.720442419969396,-0.982412068154849,0.5550177120505695
70,8,61,715.366,499.69899999999996,712.948,521.462,21.89691514802945,-1.4601441488668339,0.11042651367343892
71,8,62,831.437,303.83,831.437,303.83,0.0,,
72,8,63,855.618,453.754,858.037,448.918,5.407259657164619,-1.1069833055054699,0.44736153862979516
73,8,64,1022.47,182.923,1046.65,170.832,27.03450907636392,-0.4636806936478628,0.8944123946064353
74,8,65,1114.36,881.764,1128.87,864.838,22.294160132196083,-0.8621019420674754,0.650843086887377
75,8,66,1109.52,74.107,1107.1,66.853,7.647020073205015,1.2487976539681376,0.3164631420910869
76,8,67,1169.98,173.251,1172.39,170.832,3.414624576728816,-0.7872619011442636,0.7057876922765088
77,8,68,1107.1,308.666,1104.69,313.503,5.404134435781478,-1.1085555358001455,0.4459548570892187
78,8,69,1324.74,746.349,1327.15,751.185,5.403239398731044,1.1084730010788553,0.4460287287226386
79,8,70,1269.12,697.986,1266.7,712.495,14.70943510132186,-1.4055247086383376,0.164520254063487
80,9,61,712.948,521.462,703.276,538.389,19.495407484841174,-1.051675661564445,0.49611684226249575
81,9,62,831.437,303.83,836.273,303.83,4.836000000000013,0.0,1.0
82,9,63,858.037,448.918,853.2,453.754,6.8398439309680175,-0.7852947828540374,0.7071798784910911
83,9,64,1046.65,170.832,1046.65,173.251,2.419000000000011,1.5707963267948966,6.123233995736766e-17
84,9,65,1128.87,864.838,1138.54,864.838,9.670000000000073,0.0,1.0
85,9,66,1107.1,66.853,1119.2,78.943,17.104914498470997,0.7849847694565436,0.7073990344167901
86,9,67,1172.39,170.832,1189.32,165.996,17.60715184236208,-0.27823724774620295,0.9615410914596055
87,9,68,1104.69,313.503,1109.52,313.503,4.829999999999927,0.0,1.0
88,9,69,1327.15,751.185,1329.57,756.021,5.407707092659455,1.1068179205848798,0.4475094450446121
89,9,70,1266.7,712.495,1261.87,724.586,13.020029992285028,-1.1907463427193632,0.3709668873928979
90,10,61,703.276,538.389,703.276,564.989,26.600000000000023,1.5707963267948966,6.123233995736766e-17
91,10,62,836.273,303.83,831.437,303.83,4.836000000000013,0.0,1.0
92,10,63,853.2,453.754,850.782,456.173,3.4202755736928494,-0.7856049031091972,0.7069605790241362
93,10,64,1046.65,173.251,1053.91,173.251,7.259999999999991,0.0,1.0
94,10,65,1138.54,864.838,1150.63,860.001,13.02169992742896,-0.38057767937679904,0.9284502075288742
95,10,66,1119.2,78.943,1128.87,78.943,9.669999999999845,0.0,1.0
96,10,67,1189.32,165.996,1186.9,153.906,12.32982157210717,1.3732417085719462,0.1962721022236388
97,10,68,1109.52,313.503,1104.69,313.503,4.829999999999927,0.0,1.0
98,10,69,1329.57,756.021,1339.25,756.021,9.680000000000064,0.0,1.0
99,10,70,1261.87,724.586,1259.45,734.258,9.970154662792336,-1.3256230543487184,0.24272441921398213
100,11,61,703.276,564.989,698.44,577.079,13.021328503651116,-1.1902899496825365,0.3713906763540993
101,11,62,831.437,303.83,831.437,308.666,4.836000000000013,1.5707963267948966,6.123233995736766e-17
102,11,63,850.782,456.173,848.364,453.754,3.4202755736928494,0.7856049031091972,0.7069605790241362
103,11,64,1053.91,173.251,1046.65,173.251,7.259999999999991,0.0,1.0
104,11,65,1150.63,860.001,1160.3,850.329,13.676859434826312,-0.7855015653203649,0.707033661205618
105,11,66,1128.87,78.943,1121.61,74.107,8.723215920748485,0.5876210698003428,0.8322618706172132
106,11,67,1186.9,153.906,1194.16,161.16,10.262948699082527,0.784984769456549,0.7073990344167862
107,11,68,1104.69,313.503,1099.85,306.248,8.721274276159496,0.982475707675272,0.5549647731216051
108,11,69,1339.25,756.021,1344.08,751.185,6.834895463721404,-0.7860188957820405,0.7066677209090966
109,11,70,1259.45,734.258,1252.19,729.422,8.723215920748494,0.5876210698003441,0.8322618706172125
110,12,61,698.44,577.079,708.112,586.752,13.678980700329916,0.7854498563413201,0.7070702278106612
111,12,62,831.437,308.666,833.855,306.248,3.419568393818153,-0.7853981633974483,0.7071067811865476
112,12,63,848.364,453.754,850.782,458.591,5.407706815277611,1.107231417099226,0.44713962546356634
113,12,64,1046.65,173.251,1046.65,170.832,2.419000000000011,-1.5707963267948966,6.123233995736766e-17
114,12,65,1160.3,850.329,1191.74,838.238,33.68480192905995,-0.3671376000035569,0.9333586127717943
115,12,66,1121.61,74.107,1133.7,76.525,12.329429183867497,0.19739555984987894,0.9805806756909206
116,12,67,1194.16,161.16,1211.08,151.487,19.48982629476196,-0.5193434006019338,0.8681452437853293
117,12,68,1099.85,306.248,1097.43,313.503,7.647968684559266,-1.2488390326865195,0.31642388976901326
118,12,69,1344.08,751.185,1346.5,751.185,2.4200000000000728,0.0,1.0
119,12,70,1252.19,729.422,1244.94,739.094,12.087600423574585,-0.9275599521031095,0.5997881916960328
120,13,61,708.112,586.752,710.53,591.588,5.406812369594506,1.1071487177940904,0.44721359549995804
121,13,62,833.855,306.248,831.437,308.666,3.419568393818153,-0.7853981633974483,0.7071067811865476
122,13,63,850.782,458.591,853.2,461.009,3.419568393818153,0.7853981633974483,0.7071067811865476
123,13,64,1046.65,170.832,1049.07,173.251,3.421689787224918,0.7851915091330137,0.7072528927184045
124,13,65,1191.74,838.238,1196.58,833.402,6.841965799388311,-0.7849847694565589,0.7073990344167792
125,13,66,1133.7,76.525,1121.61,66.853,15.482754406112747,0.6747409422235473,0.7808688094430337
126,13,67,1211.08,151.487,1211.08,153.906,2.419000000000011,1.5707963267948966,6.123233995736766e-17
127,13,68,1097.43,313.503,1099.85,323.175,9.970154662792336,1.3256230543487184,0.24272441921398213
128,13,69,1346.5,751.185,1344.08,746.349,5.407707092659455,1.1068179205848327,0.4475094450446542
129,13,70,1244.94,739.094,1242.52,746.349,7.647968684559338,-1.2488390326864915,0.3164238897690398
130,14,61,710.53,591.588,722.621,596.424,13.022256985638101,0.38047785742666024,0.9284872824530225
131,14,62,831.437,308.666,833.855,306.248,3.419568393818153,-0.7853981633974483,0.7071067811865476
132,14,63,853.2,461.009,853.2,456.173,4.836000000000013,-1.5707963267948966,6.123233995736766e-17
133,14,64,1049.07,173.251,1046.65,173.251,2.4199999999998454,0.0,1.0
134,14,65,1196.58,833.402,1194.16,843.074,9.970154662792226,-1.3256230543487157,0.24272441921398472
135,14,66,1121.61,66.853,1133.7,74.107,14.099241681736062,0.5404195002705792,0.8574929257125468
136,14,67,1211.08,153.906,1215.92,156.324,5.410390374085907,0.46331697585033704,0.8945750057486139
137,14,68,1099.85,323.175,1102.27,315.921,7.647020073205028,-1.248797653968138,0.31646314209108645
138,14,69,1344.08,746.349,1346.5,756.021,9.97015466279228,1.3256230543486935,0.24272441921400625
